thisN,thisTrialN,thisRepN,item_n,text,subscale,reverse,tob_instr_key_after.keys,tob_instr_key_after.rt,tob_instr_key_after.duration,tob_slider_after.response,tob_slider_after.rt,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,effort_loop.thisRepN,effort_loop.thisTrialN,effort_loop.thisN,effort_loop.thisIndex,tob_block_after.thisRepN,tob_block_after.thisTrialN,tob_block_after.thisN,tob_block_after.thisIndex,tob_items_after.thisRepN,tob_items_after.thisTrialN,tob_items_after.thisN,tob_items_after.thisIndex,thisRow.t,notes,group,order,cost,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,demo.started,demo_text.started,lbl_sex.started,sex.started,lbl_age.started,age.started,lbl_study.started,study.started,demo_next.started,demo.stopped,sex.response,sex.rt,age.text,study.text,demo_next.numClicks,demo_next.timesOn,demo_next.timesOff,sex,age,study,choice.started,choice_text.started,btn_magic.started,btn_skip.started,choice.stopped,choice,choice_rt,btn_magic.numClicks,btn_magic.timesOn,btn_magic.timesOff,btn_skip.numClicks,btn_skip.timesOn,btn_skip.timesOff,effort.started,effort_text.started,effort_box.started,effort_done.started,effort.stopped,effort_loop.effort_box.text,effort_loop.effort_done.numClicks,effort_loop.effort_done.timesOn,effort_loop.effort_done.timesOff,effort_len,effort_m,effort_time,rating.started,rating_text.started,lbl_imp.started,importance.started,lbl_ctrl.started,control.started,rating_done.started,rating.stopped,importance.response,importance.rt,control.response,control.rt,rating_done.numClicks,rating_done.timesOn,rating_done.timesOff,tob_instr_after.started,tob_instr_text_after.started,tob_instr_key_after.started,tob_instr_after.stopped,tob_block_after.tob_instr_key_after.keys,tob_block_after.tob_instr_key_after.rt,tob_block_after.tob_instr_key_after.duration,tob_item_after.started,tob_text_after.started,tob_slider_after.started,tob_item_after.stopped,tob_items_after.tob_slider_after.response,tob_items_after.tob_slider_after.rt,tob_1,tob_2,tob_3,tob_4,tob_5,tob_6,tob_7,tob_8,tob_9,tob_10,tob_11,tob_12,tob_13,tob_14,tob_15,tob_16,tob_17,tob_18,tob_19,tob_20,tob_21,tob_22,tob_23,tob_24,tob_25,tob_26,suspicion.started,susp_text.started,susp_box.started,susp_done.started,suspicion.stopped,susp_box.text,susp_done.numClicks,susp_done.timesOn,susp_done.timesOff,thanks.started,thanks_text.started,thanks_key.started,thanks.stopped,thanks_key.keys,thanks_key.rt,thanks_key.duration,participant,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
6,6,0,7,"ВСТАВИТЬ пункт 7 шкалы веры в паранормальное (Григорьев, 2015)",Precog,0,space,2.4923700420004025,None,7.0,0.6788541249989066,,,,,,,,,0,0,0,0,0,6,6,6,78.15541729100005,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1438848329999,78.15541729100005,78.15541729100005,78.83126249999987,7.0,0.6788541249989066,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
7,7,0,8,"ВСТАВИТЬ пункт 8 шкалы веры в паранормальное (Григорьев, 2015)",TRB,0,space,2.4923700420004025,None,2.0,0.875895708999451,,,,,,,,,0,0,0,0,0,7,7,7,78.84182229100043,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.83356183299838,78.84182229100043,78.84182229100043,79.72320958300043,2.0,0.875895708999451,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
8,8,0,9,"ВСТАВИТЬ пункт 9 шкалы веры в паранормальное (Григорьев, 2015)",Psi,0,space,2.4923700420004025,None,3.0,0.3645346659977804,,,,,,,,,0,0,0,0,0,8,8,8,79.73523766599828,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.72565383300025,79.73523766599828,79.73523766599828,80.09962187499696,3.0,0.3645346659977804,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
9,9,0,10,"ВСТАВИТЬ пункт 10 шкалы веры в паранормальное (Григорьев, 2015)",Witch,0,space,2.4923700420004025,None,4.0,0.3735982090001926,,,,,,,,,0,0,0,0,0,9,9,9,80.11056633299813,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10171724999964,80.11056633299813,80.11056633299813,80.48905283299973,4.0,0.3735982090001926,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
10,10,0,11,"ВСТАВИТЬ пункт 11 шкалы веры в паранормальное (Григорьев, 2015)",Super,0,space,2.4923700420004025,None,5.0,0.3989029170006688,,,,,,,,,0,0,0,0,0,10,10,10,80.49880441599817,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.49059212499924,80.49880441599817,80.49880441599817,80.89933929099789,5.0,0.3989029170006688,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
11,11,0,12,"ВСТАВИТЬ пункт 12 шкалы веры в паранормальное (Григорьев, 2015)",Spirit,0,space,2.4923700420004025,None,3.0,0.7052103329988313,,,,,,,,,0,0,0,0,0,11,11,11,80.91021841600013,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.90133579099711,80.91021841600013,80.91021841600013,81.61632024999926,3.0,0.7052103329988313,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
12,12,0,13,"ВСТАВИТЬ пункт 13 шкалы веры в паранормальное (Григорьев, 2015)",ELF,0,space,2.4923700420004025,None,2.0,0.3296992909999972,,,,,,,,,0,0,0,0,0,12,12,12,81.62861945799887,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6185557079989,81.62861945799887,81.62861945799887,81.95780491599726,2.0,0.3296992909999972,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
13,13,0,14,"ВСТАВИТЬ пункт 14 шкалы веры в паранормальное (Григорьев, 2015)",Precog,0,space,2.4923700420004025,None,1.0,0.34705154200128163,,,,,,,,,0,0,0,0,0,13,13,13,81.9723272079973,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.95971445800024,81.9723272079973,81.9723272079973,82.3160372079983,1.0,0.34705154200128163,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
14,14,0,15,"ВСТАВИТЬ пункт 15 шкалы веры в паранормальное (Григорьев, 2015)",TRB,0,space,2.4923700420004025,None,2.0,0.3409737080000923,,,,,,,,,0,0,0,0,0,14,14,14,82.32691412499844,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.31802783300009,82.32691412499844,82.32691412499844,82.67260570799772,2.0,0.3409737080000923,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
15,15,0,16,"ВСТАВИТЬ пункт 16 шкалы веры в паранормальное (Григорьев, 2015)",Psi,0,space,2.4923700420004025,None,3.0,0.31754875000115135,,,,,,,,,0,0,0,0,0,15,15,15,82.68376995799917,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67455929099742,82.68376995799917,82.68376995799917,83.0059181659999,3.0,0.31754875000115135,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
16,16,0,17,"ВСТАВИТЬ пункт 17 шкалы веры в паранормальное (Григорьев, 2015)",Witch,0,space,2.4923700420004025,None,4.0,0.39851199999975506,,,,,,,,,0,0,0,0,0,16,16,16,83.01693079100005,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.00782666599844,83.01693079100005,83.01693079100005,83.41593699999794,4.0,0.39851199999975506,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
17,17,0,18,"ВСТАВИТЬ пункт 18 шкалы веры в паранормальное (Григорьев, 2015)",Super,0,space,2.4923700420004025,None,5.0,0.322024083998258,,,,,,,,,0,0,0,0,0,17,17,17,83.42697862499699,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.41790991599919,83.42697862499699,83.42697862499699,83.74969129099918,5.0,0.322024083998258,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
18,18,0,19,"ВСТАВИТЬ пункт 19 шкалы веры в паранормальное (Григорьев, 2015)",Spirit,0,space,2.4923700420004025,None,6.0,0.3315679170009389,,,,,,,,,0,0,0,0,0,18,18,18,83.76172399999996,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75166920799893,83.76172399999996,83.76172399999996,84.09256816599736,6.0,0.3315679170009389,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
19,19,0,20,"ВСТАВИТЬ пункт 20 шкалы веры в паранормальное (Григорьев, 2015)",ELF,0,space,2.4923700420004025,None,7.0,0.2783592919986404,,,,,,,,,0,0,0,0,0,19,19,19,84.1045510829972,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.09448741599772,84.1045510829972,84.1045510829972,84.38174341599733,7.0,0.2783592919986404,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
20,20,0,21,"ВСТАВИТЬ пункт 21 шкалы веры в паранормальное (Григорьев, 2015)",Precog,0,space,2.4923700420004025,None,5.0,0.3757457079991582,,,,,,,,,0,0,0,0,0,20,20,20,84.39224133300013,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.38370166599998,84.39224133300013,84.39224133300013,84.77267241599839,5.0,0.3757457079991582,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
21,21,0,22,"ВСТАВИТЬ пункт 22 шкалы веры в паранормальное (Григорьев, 2015)",TRB,0,space,2.4923700420004025,None,4.0,0.3318474169973342,,,,,,,,,0,0,0,0,0,21,21,21,84.78350712499741,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.77455270799692,84.78350712499741,84.78350712499741,85.1152734999996,4.0,0.3318474169973342,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
22,22,0,23,"ВСТАВИТЬ пункт 23 шкалы веры в паранормальное (Григорьев, 2015)",Psi,1,space,2.4923700420004025,None,4.0,0.15988525000284426,,,,,,,,,0,0,0,0,0,22,22,22,85.12567591599873,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11717824999869,85.12567591599873,85.12567591599873,85.28946595799789,4.0,0.15988525000284426,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
23,23,0,24,"ВСТАВИТЬ пункт 24 шкалы веры в паранормальное (Григорьев, 2015)",Witch,0,space,2.4923700420004025,None,4.0,0.14148104199921363,,,,,,,,,0,0,0,0,0,23,23,23,85.30117516599785,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.29151620799894,85.30117516599785,85.30117516599785,85.44241233299908,4.0,0.14148104199921363,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
24,24,0,25,"ВСТАВИТЬ пункт 25 шкалы веры в паранормальное (Григорьев, 2015)",Spirit,0,space,2.4923700420004025,None,4.0,0.1558192920019792,,,,,,,,,0,0,0,0,0,24,24,24,85.45460266599912,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.44427245800034,85.45460266599912,85.45460266599912,85.60949074999735,4.0,0.1558192920019792,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
25,25,0,26,"ВСТАВИТЬ пункт 26 шкалы веры в паранормальное (Григорьев, 2015)",Precog,0,space,2.4923700420004025,None,4.0,0.17774275000192574,,,,,,,,,0,0,0,0,0,25,25,25,85.62222391599789,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.61162383299961,85.62222391599789,85.62222391599789,85.79794479100019,4.0,0.17774275000192574,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.79989312500038,85.80853195799864,85.80853195799864,85.80853195799864,85.86241766599778,,1,[0.05373029099791893],[0.053733458000351675],,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.86247658299908,85.87215083299816,85.87215083299816,97.28631399999722,space,11.404353750000155,None,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
