thisN,thisTrialN,thisRepN,item_n,text,subscale,reverse,tob_instr_key_before.keys,tob_instr_key_before.rt,tob_instr_key_before.duration,tob_slider_before.response,tob_slider_before.rt,debug_loop.thisRepN,debug_loop.thisTrialN,debug_loop.thisN,debug_loop.thisIndex,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,tob_items_before.thisRepN,tob_items_before.thisTrialN,tob_items_before.thisN,tob_items_before.thisIndex,effort_loop.thisRepN,effort_loop.thisTrialN,effort_loop.thisN,effort_loop.thisIndex,tob_block_after.thisRepN,tob_block_after.thisTrialN,tob_block_after.thisN,tob_block_after.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,group,order,cost,debug,setup.started,setup_blank.started,setup_blank.stopped,setup.stopped,tob_instr_before.started,tob_instr_text_before.started,tob_instr_key_before.started,tob_instr_before.stopped,tob_block_before.tob_instr_key_before.keys,tob_block_before.tob_instr_key_before.rt,tob_block_before.tob_instr_key_before.duration,tob_item_before.started,tob_text_before.started,tob_slider_before.started,tob_hint_before.started,tob_item_before.stopped,tob_items_before.tob_slider_before.response,tob_items_before.tob_slider_before.rt,tob_1,tob_rt_1,tob_2,tob_rt_2,tob_3,tob_rt_3,tob_4,tob_rt_4,tob_5,tob_rt_5,tob_6,tob_rt_6,tob_7,tob_rt_7,tob_8,tob_rt_8,tob_9,tob_rt_9,tob_10,tob_rt_10,tob_11,tob_rt_11,tob_12,tob_rt_12,tob_13,tob_rt_13,tob_14,tob_rt_14,tob_15,tob_rt_15,tob_16,tob_rt_16,tob_17,tob_rt_17,tob_18,tob_rt_18,tob_19,tob_rt_19,tob_20,tob_rt_20,tob_21,tob_rt_21,tob_22,tob_rt_22,tob_23,tob_rt_23,tob_24,tob_rt_24,tob_25,tob_rt_25,tob_26,tob_rt_26,choice.started,choice_text.started,btn_magic.started,btn_skip.started,choice.stopped,choice,choice_rt,btn_magic.numClicks,btn_magic.timesOn,btn_magic.timesOff,btn_skip.numClicks,btn_skip.timesOn,btn_skip.timesOff,effort.started,effort_text.started,effort_box.started,effort_done.started,effort.stopped,effort_loop.effort_box.text,effort_loop.effort_done.numClicks,effort_loop.effort_done.timesOn,effort_loop.effort_done.timesOff,effort_len,effort_m,effort_time,rating.started,rating_text.started,lbl_imp.started,importance.started,lbl_ctrl.started,control.started,rating_done.started,rating.stopped,importance.response,importance.rt,control.response,control.rt,rating_done.numClicks,rating_done.timesOn,rating_done.timesOff,suspicion.started,susp_text.started,susp_box.started,susp_done.started,suspicion.stopped,susp_box.text,susp_done.numClicks,susp_done.timesOn,susp_done.timesOff,code_entry.started,code_text.started,code_box.started,code_done.started,code_entry.stopped,code_box.text,code_done.numClicks,code_done.timesOn,code_done.timesOff,participant_code,RPBS_TRB,RPBS_Psi,RPBS_Witch,RPBS_Super,RPBS_Spirit,RPBS_ELF,RPBS_Precog,RPBS_total,RPBS_mean,thanks.started,thanks_text.started,thanks_key.started,thanks.stopped,thanks_key.keys,thanks_key.rt,thanks_key.duration,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
8,8,0,9,"Психокинез — передвижение объектов силой мысли, действительно существует",Psi,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,8,8,8,,,,,,,,,16.047945958998753,,,,,,,,,1,,,,,,,,,,,,,,,16.022499958999106,16.047945958998753,16.047945958998753,16.047945958998753,16.279844917000446,None,None,,,,,,,,,,,,,,,,,7,0.2599159579986008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
9,9,0,10,Ведьмы (колдуны) существуют,Witch,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,9,9,9,,,,,,,,,16.292478250001295,,,,,,,,,1,,,,,,,,,,,,,,,16.281761958998686,16.292478250001295,16.292478250001295,16.292478250001295,16.548599749999994,None,None,,,,,,,,,,,,,,,,,,,7,0.2682245830001193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
10,10,0,11,"Если разбить зеркало, то это принесет несчастье",Super,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,10,10,10,,,,,,,,,16.56116758400094,,,,,,,,,1,,,,,,,,,,,,,,,16.551167208999686,16.56116758400094,16.56116758400094,16.56116758400094,16.819046959000843,None,None,,,,,,,,,,,,,,,,,,,,,7,0.26974520799922175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
11,11,0,12,"Когда человек спит или находится в состоянии транса, его душа может покинуть тело",Spirit,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,11,11,11,,,,,,,,,16.834190334000596,,,,,,,,,1,,,,,,,,,,,,,,,16.822451416999684,16.834190334000596,16.834190334000596,16.834190334000596,17.10868183400089,None,None,,,,,,,,,,,,,,,,,,,,,,,7,0.2890593749980326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
12,12,0,13,Лох-несское чудовище существует,ELF,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,12,12,12,,,,,,,,,17.120115792000433,,,,,,,,,1,,,,,,,,,,,,,,,17.110903042001155,17.120115792000433,17.120115792000433,17.120115792000433,17.36588537499847,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,0.25639425000190386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
13,13,0,14,Гороскоп точно описывает будущее человека,Precog,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,13,13,13,,,,,,,,,17.377002500001254,,,,,,,,,1,,,,,,,,,,,,,,,17.36795466699914,17.377002500001254,17.377002500001254,17.377002500001254,17.666877749998093,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.29908666700066533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
14,14,0,15,Я верю в Бога,TRB,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,14,14,14,,,,,,,,,17.678234999999404,,,,,,,,,1,,,,,,,,,,,,,,,17.668960667000647,17.678234999999404,17.678234999999404,17.678234999999404,17.97537424999973,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.30685066600199207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
15,15,0,16,Мысли человека могут влиять на движение физических объектов,Psi,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,15,15,15,,,,,,,,,17.987452000001213,,,,,,,,,1,,,,,,,,,,,,,,,17.978002791998733,17.987452000001213,17.987452000001213,17.987452000001213,18.242174041999533,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.2651219589970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
16,16,0,17,"Используя заговоры и заклинания, можно заколдовать человека",Witch,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,16,16,16,,,,,,,,,18.25382995900145,,,,,,,,,1,,,,,,,,,,,,,,,18.244502041998203,18.25382995900145,18.25382995900145,18.25382995900145,18.533696167000016,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.28971366599944304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
17,17,0,18,Число «13» — несчастливое,Super,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,17,17,17,,,,,,,,,18.545144833999075,,,,,,,,,1,,,,,,,,,,,,,,,18.53618870900027,18.545144833999075,18.545144833999075,18.545144833999075,18.844111166999937,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3096932079970429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
18,18,0,19,Реинкарнация (переселение душ) действительно случается,Spirit,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,18,18,18,,,,,,,,,18.857193458999973,,,,,,,,,1,,,,,,,,,,,,,,,18.846849000001384,18.857193458999973,18.857193458999973,18.857193458999973,19.118037625001307,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.27332333300000755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
19,19,0,20,На других планетах есть жизнь,ELF,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,19,19,19,,,,,,,,,19.13137016700057,,,,,,,,,1,,,,,,,,,,,,,,,19.1195702920013,19.13137016700057,19.13137016700057,19.13137016700057,19.42057983400082,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.30027079100182164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
20,20,0,21,Некоторые экстрасенсы могут точно предсказать будущее,Precog,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,20,20,20,,,,,,,,,19.435271624999586,,,,,,,,,1,,,,,,,,,,,,,,,19.423023125000327,19.435271624999586,19.435271624999586,19.435271624999586,19.691171874997963,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.2701715000002878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
21,21,0,22,Рай и ад существуют,TRB,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,21,21,21,,,,,,,,,19.70246120899901,,,,,,,,,1,,,,,,,,,,,,,,,19.692526958999224,19.70246120899901,19.70246120899901,19.70246120899901,20.011391500000173,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.31972775000031106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
22,22,0,23,Мысли читать невозможно,Psi,1,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,22,22,22,,,,,,,,,20.024236583998572,,,,,,,,,1,,,,,,,,,,,,,,,20.013111042000673,20.024236583998572,20.024236583998572,20.024236583998572,20.314997124998627,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3032112500004587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
23,23,0,24,Существуют реальные примеры колдовства,Witch,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,23,23,23,,,,,,,,,20.32616829199833,,,,,,,,,1,,,,,,,,,,,,,,,20.316726791999827,20.32616829199833,20.32616829199833,20.32616829199833,20.62373291699987,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.30830237500049407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
24,24,0,25,Общаться с умершими возможно,Spirit,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,24,24,24,,,,,,,,,20.63545570899805,,,,,,,,,1,,,,,,,,,,,,,,,20.625543375001143,20.63545570899805,20.63545570899805,20.63545570899805,20.960379916999955,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.33430762499847333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
25,25,0,26,Некоторые люди имеют необъяснимые способности предсказывать будущее,Precog,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,25,25,25,,,,,,,,,20.97490604199993,,,,,,,,,1,,,,,,,,,,,,,,,20.9630729169985,20.97490604199993,20.97490604199993,20.97490604199993,21.252597458998935,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.2917303329995775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.259487541999988,21.269331333998707,21.269331333998707,21.269331333998707,24.73914841700025,magic,3.4695064590014226,1,[3.4695064590014226],[3.4695095420029247],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,24.765420084000652,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.739754709000408,24.765420084000652,24.765420084000652,24.765420084000652,27.072300291998545,ммм,1,[2.306728125000518],[2.3067306250013644],3,3,2.3325090409998666,27.073299458999827,27.086622833998263,27.086622833998263,27.086622833998263,27.086622833998263,27.086622833998263,27.086622833998263,29.099425459000486,27.0,1.1090953750026529,73.0,1.6935791659998358,1,[2.0121823329973267],[2.0121848749986384],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.100046791998466,29.109849459000543,29.109849459000543,29.109849459000543,32.21353349999845,ммммммм,1,[3.1035400420005317],[3.103542417000426],,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
